datetime,track name,artist,album name,track duration,abum image url,spotify url,spotify track id,genre,track playing,tempo,acousticness,livelines,danceability,speechiness,loudness,energy,instrumentalness
2018-12-24 22:07:38,Snow In California,Ariana Grande,Snow In California,207680,https://i.scdn.co/image/6349a0f550f15c324696ec9f94a638889adff725,https://open.spotify.com/track/3dwQdPUdCoxq3q9gCv5nbn,spotify:track:3dwQdPUdCoxq3q9gCv5nbn,dance pop,TRUE,134.795,0.294,0.332,0.609,0.0511,-5.997,0.541,0
2018-12-24 22:11:05,Blue Christmas,Elvis Presley,Elvis Presley Christmas Duets,149266,https://i.scdn.co/image/f9ce966050e0c7fe8a96e935dddc1659a518ef20,https://open.spotify.com/track/0cDcnStZNlQe6FL9TwcUqQ,spotify:track:0cDcnStZNlQe6FL9TwcUqQ,adult standards,TRUE,95.252,0.818,0.334,0.465,0.029,-6.424,0.697,0.000111
2018-12-25 10:02:51,Bring Me Love,John Legend,Have Yourself a Merry Little Christmas / Bring Me Love,199546,https://i.scdn.co/image/5f79f928a45b878579e1fffc9e4aefb362ca53fd,https://open.spotify.com/track/5MknXpAUgINT11lxoobaJK,spotify:track:5MknXpAUgINT11lxoobaJK,neo soul,TRUE,191.511,0.198,0.125,0.506,0.425,-6.276,0.86,0
2018-12-25 10:04:38,Fairytale of New York (feat. Kirsty MacColl),The Pogues,If I Should Fall From Grace With God (Expanded),272200,https://i.scdn.co/image/28a0ae8f93bdb5148a56838906393906be53a6f9,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK,spotify:track:3VTNVsTTu05dmTsVFrmGpK,celtic punk,TRUE,118.501,0.501,0.241,0.319,0.0342,-6.335,0.651,0.0000473
2018-12-25 10:08:42,O Holy Night,Mariah Carey,Merry Christmas,267226,https://i.scdn.co/image/4d8a38b7edd6c6b5ae343cf0952faf73360d620e,https://open.spotify.com/track/6Lv9ozIdb06duB01e6ZpNQ,spotify:track:6Lv9ozIdb06duB01e6ZpNQ,dance pop,TRUE,173.98,0.327,0.161,0.338,0.0285,-7.212,0.496,0.00000548
2018-12-25 10:10:33,It's the Most Wonderful Time of the Year,Andy Williams,The Classic Christmas Album,151520,https://i.scdn.co/image/924eb6c657e015213d08400549201fb698123bdd,https://open.spotify.com/track/5RPVSzZW6R0pUza8Hs2sC7,spotify:track:5RPVSzZW6R0pUza8Hs2sC7,adult standards,TRUE,201.118,0.838,0.112,0.232,0.0406,-10.361,0.557,0.00000112
2018-12-25 10:13:06,In Dulci Jubilo,Mike Oldfield,The Mike Oldfield Collection,170173,https://i.scdn.co/image/793649687e7405308559397402efc6e47145f94d,https://open.spotify.com/track/4W5EgSwFClWrZZda0l1C2H,spotify:track:4W5EgSwFClWrZZda0l1C2H,album rock,TRUE,119.613,0.208,0.554,0.351,0.039,-11.789,0.322,0.393
2018-12-25 10:26:42,Deck The Hall - Remastered 1999,Nat King Cole,The Christmas Song,69440,https://i.scdn.co/image/834ca47cdd3817073dcc320b3a768e4d73c17fac,https://open.spotify.com/track/5WUx1mTgFVIPSIeWf1NXEl,spotify:track:5WUx1mTgFVIPSIeWf1NXEl,adult standards,TRUE,106.743,0.805,0.0774,0.694,0.0401,-10.909,0.362,0.0000462
2018-12-25 10:30:04,Merry Christmas Everyone - Single Version - Re-mastered 2004,Shakin' Stevens,Shakin' Stevens - The Collection,220186,https://i.scdn.co/image/c9d02128fd5aa605943a5736630de437b432d362,https://open.spotify.com/track/2DVmysS5JXqtrNyL5buBR0,spotify:track:2DVmysS5JXqtrNyL5buBR0,rock-and-roll,TRUE,101.649,0.133,0.119,0.728,0.0269,-3.084,0.909,0
2018-12-25 10:30:34,Merry Christmas Everyone - Single Version - Re-mastered 2004,Shakin' Stevens,Shakin' Stevens - The Collection,220186,https://i.scdn.co/image/c9d02128fd5aa605943a5736630de437b432d362,https://open.spotify.com/track/2DVmysS5JXqtrNyL5buBR0,spotify:track:2DVmysS5JXqtrNyL5buBR0,rock-and-roll,TRUE,101.649,0.133,0.119,0.728,0.0269,-3.084,0.909,0
2018-12-25 10:34:16,White Christmas,Bing Crosby,Bing Crosby Rediscovered: The Soundtrack (American Masters),179293,https://i.scdn.co/image/e196297375a0034662bb40d24c78c5404b74370e,https://open.spotify.com/track/3FAO4AyAGNI7QSSnyZD256,spotify:track:3FAO4AyAGNI7QSSnyZD256,adult standards,TRUE,97.759,0.903,0.37,0.347,0.0328,-15.435,0.172,0.0024
2018-12-25 10:44:25,Have Yourself A Merry Little Christmas,Sam Smith,Have Yourself A Merry Little Christmas,170964,https://i.scdn.co/image/b5333d4d36c18cfde61d7b6619b0f2b5f8804ec4,https://open.spotify.com/track/7Hz6LLOVxrojLPIHJJ1S0E,spotify:track:7Hz6LLOVxrojLPIHJJ1S0E,pop,TRUE,133.483,0.954,0.317,0.426,0.0436,-9.429,0.177,0
